id,task,sid,eye,stimfile,trialid,start_ms,end_ms,duration_ms,start_x,end_y,start_y,ampl_x,ampl_y,avg_vel_x,avg_vel_y,peak_vel_x,peak_vel_y,end_x,avg_vel,peak_vel,ampl
0,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13461331.982,13461383.977,51.994999999180436,167.55,202.69,190.77499999999998,219.745,11.91500000000002,113.72861806615266,11.907252109222444,573.7951923409396,32.29221610859088,387.295,117.83737702334489,573.7981473632208,220.0677901238616
1,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13461491.969,13461547.977,56.00799999944866,397.90999999999997,154.38,196.36,56.07499999999993,41.98000000000002,26.338510180867207,27.336979793278754,60.67122069282113,91.82242075692831,341.83500000000004,40.73569065316103,96.03810050123131,70.04802656035353
2,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13461671.962,13461695.959,23.997000001370907,341.975,170.64,144.06,11.120000000000005,26.579999999999984,18.078470779385917,29.138247814605396,32.596322349446375,42.913790246141524,353.095,35.82599979530057,49.26402768613153,28.812337635117345
3,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13461859.923,13461895.914,35.99100000038743,361.57500000000005,190.815,190.45,80.36500000000001,0.3650000000000091,67.16190771911961,8.424017731413684,254.7183858644679,20.623505673685756,441.94000000000005,69.66316401409594,254.73755182024004,80.36582887023565
4,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13462311.786,13462351.754,39.96800000034273,477.46000000000004,165.355,180.12,84.97499999999991,14.765000000000015,60.12059734132705,13.917852283492866,239.43860358569373,38.27294843730718,562.435,68.36594257883075,239.48617109912485,86.2482223005204
5,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13462791.79,13462815.794,24.00400000065565,583.56,163.49,169.62,121.34000000000003,6.1299999999999955,133.139790986243,9.457643586196337,398.75193031177326,23.867911732735354,704.9,138.4352784357784,398.7519357328156,121.4947426846117
6,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13463411.829,13463435.83,24.001000000163913,721.7,175.135,180.03,102.76999999999998,4.89500000000001,112.6499010791503,10.484247345763526,325.7173121747387,20.092203709113118,824.47,114.82953313889271,325.8137109930571,102.88650992720083
7,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13464031.711,13464055.716,24.005000000819564,832.0,161.705,161.91,118.65499999999997,0.20499999999998408,144.68753982264988,7.260619023149581,413.08582771600595,12.528853704045966,950.655,144.95489562454728,413.23261815566036,118.65517708890748
8,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13464371.765,13464395.766,24.001000000163913,955.46,157.54000000000002,155.99,72.46000000000004,1.5500000000000114,80.54405714290814,11.180001630174042,200.46165926473546,20.453929144137927,1027.92,83.1350254387644,201.01926932200615,72.4765762160438
9,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13464851.7,13464899.697,47.99700000137091,1072.8200000000002,165.58499999999998,180.745,89.37999999999965,15.160000000000025,50.11475834041852,10.15106066887469,228.2400412594965,18.974143273581543,1162.1999999999998,55.60932463799144,228.2730402524929,90.65654968064877
10,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13465471.613,13465495.618,24.005000000819564,1190.125,144.69,138.7,127.43000000000006,5.990000000000009,140.80647115236098,9.841968759082471,348.05727481331854,28.510541106057204,1317.555,142.39934946767914,348.08038375932904,127.57070588501114
11,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13465891.558,13465947.575,56.01699999906123,1303.915,245.675,153.655,704.315,92.02000000000001,330.76762479532186,43.69354273530756,509.28074469945534,124.69833223452524,599.5999999999999,336.88077707144174,509.29812994702115,710.3008514882972
12,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13466055.605,13466083.611,28.00599999912083,575.9200000000001,274.765,254.54999999999998,134.79500000000007,20.215000000000003,126.62158247529756,20.407644559433084,376.79082162015203,41.423648481056794,441.125,129.29010113968414,379.0610002501858,136.30237800566803
13,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13466203.602,13466239.599,35.99699999950826,413.97,264.8,273.735,52.91000000000008,8.935000000000002,41.320806255146245,12.442286511758114,120.08998279844654,30.195180555730946,361.05999999999995,43.99578970753288,123.8279164700932,53.659130863255776
14,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13466651.542,13466699.557,48.01500000059605,334.69,246.24,246.97500000000002,129.985,0.7350000000000136,74.86713253879684,9.962991181762053,333.44278206601274,28.660631440272436,464.675,77.2428042893538,334.67225864489814,129.9870780116239
15,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13467131.431,13467155.443,24.012000000104308,494.625,246.51,256.955,63.03499999999997,10.444999999999993,76.95971160393277,11.443436368266228,275.79284221940924,28.7592345300898,557.66,78.0712522882702,277.28827128138084,63.894516587888795
16,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13467323.467,13467375.434,51.967000000178814,573.99,265.32,238.34,23.529999999999973,26.97999999999999,12.559429615438928,16.174349978876624,30.99234706639181,27.149769957677073,597.52,22.02072457794945,32.72119480330669,35.7991801582103
17,T1_Syllables,1993,b,s7_stimuli_t1.jpg,12,13467851.495,13467875.494,23.999000001698732,605.0899999999999,246.935,255.93,88.10500000000002,8.995000000000005,96.57797889830464,9.860138080570044,207.66328383477781,15.554193706072864,693.1949999999999,98.10418835624607,208.19219578579725,88.56297787450467
