id,task,sid,eye,stimfile,trialid,start_ms,end_ms,duration_ms,start_x,end_y,start_y,ampl_x,ampl_y,avg_vel_x,avg_vel_y,peak_vel_x,peak_vel_y,end_x,avg_vel,peak_vel,ampl
0,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1187751.783,1187815.788,64.00499999988824,116.10499999999999,166.83499999999998,125.745,223.52,41.089999999999975,97.92447708153082,23.173262730621822,571.5590714698764,68.56341200245593,339.625,108.33407467333583,571.5928617955927,227.26543621941283
1,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1187959.816,1187975.819,16.002999999793246,368.375,205.69,196.735,35.61500000000001,8.954999999999984,58.55011414389425,23.384074890061324,101.38177419835591,40.04286018204332,332.76,65.9000047114911,102.85227682161977,36.723565322555494
2,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1188351.719,1188375.718,23.999000000068918,337.135,235.97,234.78,30.980000000000018,1.1899999999999977,53.744968165537536,16.92610636202848,137.78450661404904,41.77328900168385,368.115,58.53223880496245,141.5783073590839,31.002846643493903
3,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1188615.716,1188623.716,8.0,377.67,202.395,215.93,27.839999999999975,13.534999999999997,91.5494191917688,44.50867057329712,146.13707575007916,72.83834896184192,349.83000000000004,101.81551966544637,163.28340389724679,30.955804383023203
4,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1188871.696,1188943.701,72.00499999988824,336.725,217.71,190.665,111.42999999999995,27.045000000000016,48.64802225102851,37.910220807709294,134.66051422065158,94.2130337587707,448.155,67.99625101060548,164.3458238599374,114.66506409975092
5,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1189131.732,1189155.739,24.006999999983236,452.195,225.995,236.84,36.224999999999966,10.844999999999999,39.69636653051884,17.527671994018984,91.03339888676327,29.160933482325472,488.41999999999996,45.444454317040794,91.03772643638784,37.81355114241451
6,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1189371.703,1189395.689,23.986000000033528,504.20500000000004,224.79500000000002,221.595,43.489999999999895,3.200000000000017,66.97839097271621,28.328878916814926,159.10720849717714,51.324905966831324,547.6949999999999,76.18932158629059,159.70612906408778,43.60756929708409
7,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1189727.575,1189859.609,132.0339999999851,562.535,205.07,217.32,69.03000000000009,12.25,247.4978315289276,103.14667790443946,3868.640007439871,1505.914001142806,631.565,272.39175121699543,4135.545695319253,70.10851160879122
8,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1190051.607,1190075.603,23.99599999981001,631.905,213.025,207.715,57.565000000000055,5.310000000000002,63.10957060641258,32.97657167535692,117.39634573082449,76.12676200752345,689.47,72.71818876063215,139.9184972928933,57.809387862180365
9,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1190311.68,1190335.664,23.984000000171363,709.0550000000001,214.665,206.47,88.99499999999989,8.194999999999993,121.03528806877428,17.106082275848337,327.54140649367065,60.914211130761345,798.05,125.84266348802055,327.6095265695415,89.37151699506941
10,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1190683.542,1190719.543,36.00100000016391,816.96,225.175,227.755,247.19000000000005,2.579999999999984,180.63283598565747,31.72856459985032,420.35783962944726,61.723512867438956,1064.15,183.9851535549553,424.86527909283546,247.20346377023122
11,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1190871.532,1190899.518,27.986000000033528,1083.59,232.93,225.71999999999997,177.4150000000002,7.210000000000036,170.5782258357204,9.221618203805127,317.3396747347022,23.787119880781553,1261.005,171.17626246988087,317.38445322347366,177.56144380185714
12,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1191115.478,1191215.503,100.0250000001397,1261.135,230.355,216.185,344.3299999999999,14.169999999999987,572.8141011812821,117.44327609641792,8209.871242397701,1514.6261177725096,916.8050000000001,585.1918451573637,8327.257538937267,344.6214412946472
13,T4_Meaningful_Text,1058,b,s7_stimuli_t4.jpg,158,1191511.494,1191535.485,23.9910000001546,897.515,248.22000000000003,252.135,40.92999999999995,3.9149999999999636,73.52233022725316,22.199465978245346,165.18539951076443,46.91622814387152,938.4449999999999,84.38490299419915,166.22751862628638,41.11681073478335
